service_id,date,exception_type
100003,20160809,1
100003,20160810,1
100003,20160811,1
100003,20160812,1
100003,20160813,1
100003,20160814,1
100003,20160815,2
100003,20160816,2
100003,20160817,1
100003,20160818,1
100003,20160819,1
100003,20160820,1
100003,20160821,1
100003,20160822,2
100003,20160823,1
100003,20160824,1
100003,20160825,1
100003,20160826,1
100003,20160827,1
100003,20160828,1
100003,20160829,2
100003,20160830,1
100003,20160831,1
100003,20160901,1
100003,20160902,1
100003,20160903,1
100003,20160904,1
100003,20160905,2
100003,20160906,1
100003,20160907,1
100003,20160908,1
100003,20160909,1
100003,20160910,1
100003,20160911,1
100003,20160912,1
100003,20160913,1
100003,20160914,1
100003,20160915,1
100003,20160916,1
100003,20160917,1
100003,20160918,1
100003,20160919,1
100003,20160920,1
100003,20160921,1
100003,20160922,1
100003,20160923,1
100003,20160924,1
100003,20160925,1
100003,20160926,1
100003,20160927,1
100003,20160928,1
100003,20160929,1
100003,20160930,1
100003,20161001,1
100003,20161002,1
100003,20161003,1
100003,20161004,1
100003,20161005,1
100003,20161006,1
100003,20161007,1
100003,20161008,1
100003,20161009,1
100003,20161010,1
100003,20161011,1
100003,20161012,1
100003,20161013,1
100003,20161014,1
100003,20161015,1
100003,20161016,1
100003,20161017,1
100003,20161018,1
100003,20161019,1
100003,20161020,1
100003,20161021,1
100003,20161022,1
100003,20161023,1
100003,20161024,1
100003,20161025,1
100003,20161026,1
100003,20161027,1
100003,20161028,1
100003,20161029,1
100003,20161030,1
100003,20161031,1
100003,20161101,1
100003,20161102,1
100003,20161103,1
100003,20161104,1
100003,20161105,1
100003,20161106,1
100003,20161107,1
100003,20161108,1
100003,20161109,1
100003,20161110,1
100003,20161111,1
100003,20161112,1
100003,20161113,1
100003,20161114,1
100003,20161115,1
100003,20161116,1
100003,20161117,1
100003,20161118,1
100003,20161119,1
100003,20161120,1
100003,20161121,1
100003,20161122,1
100003,20161123,1
100003,20161124,1
100003,20161125,1
100003,20161126,1
100003,20161127,1
100003,20161128,1
100003,20161129,1
100003,20161130,1
100003,20161201,1
100003,20161202,1
100003,20161203,1
100003,20161204,1
100003,20161205,1
100003,20161206,1
100003,20161207,1
100003,20161208,1
100003,20161209,1
100003,20161210,1
100003,20161211,1
100003,20161212,2
100003,20161213,2
100003,20161214,2
100003,20161215,2
100003,20161216,2
100003,20161217,2
100003,20161218,2
100003,20161219,2
100003,20161220,2
100003,20161221,2
100003,20161222,2
100003,20161223,2
100003,20161224,2
100003,20161225,2
100003,20161226,2
100003,20161227,2
100003,20161228,2
100003,20161229,2
100003,20161230,2
100003,20161231,2
100004,20160101,2
100004,20160102,1
100004,20160103,1
100004,20160104,1
100004,20160105,1
100004,20160106,1
100004,20160107,1
100004,20160108,1
100004,20160109,1
100004,20160110,1
100004,20160111,1
100004,20160112,1
100004,20160113,1
100004,20160114,1
100004,20160115,1
100004,20160116,1
100004,20160117,1
100004,20160118,1
100004,20160119,1
100004,20160120,1
100004,20160121,1
100004,20160122,1
100004,20160123,1
100004,20160124,1
100004,20160125,1
100004,20160126,1
100004,20160127,1
100004,20160128,1
100004,20160129,1
100004,20160130,1
100004,20160131,1
100004,20160201,1
100004,20160202,1
100004,20160203,1
100004,20160204,1
100004,20160205,1
100004,20160206,1
