service_id,date,exception_type
55,20161110,2
55,20161111,2
55,20161112,2
55,20161113,2
55,20161114,2
55,20161115,2
55,20161116,2
55,20161117,2
55,20161118,2
55,20161119,2
55,20161120,2
55,20161121,2
55,20161122,2
55,20161123,2
55,20161124,2
55,20161125,2
55,20161126,2
55,20161127,2
55,20161128,2
55,20161129,2
55,20161130,2
55,20161201,2
55,20161202,2
55,20161203,2
55,20161204,2
55,20161205,2
55,20161206,2
55,20161207,2
55,20161208,2
55,20161209,2
55,20161210,2
55,20161211,2
55,20161212,2
55,20161213,2
55,20161214,2
55,20161215,2
55,20161216,2
55,20161217,2
55,20161218,2
55,20161219,2
55,20161220,2
55,20161221,2
55,20161222,2
55,20161223,1
55,20161224,2
55,20161225,2
55,20161226,2
55,20161227,1
55,20161228,1
55,20161229,1
55,20161230,1
55,20161231,2
42,20160615,2
42,20160616,2
42,20160617,2
42,20160618,2
42,20160619,2
42,20160620,2
42,20160621,2
42,20160622,2
42,20160623,2
42,20160624,2
42,20160625,2
42,20160626,2
42,20160627,2
42,20160628,2
42,20160629,2
42,20160630,2
42,20160701,2
42,20160702,2
42,20160703,2
42,20160704,2
42,20160705,2
42,20160706,2
42,20160707,2
42,20160708,2
42,20160709,2
42,20160710,2
42,20160711,2
42,20160712,2
42,20160713,2
42,20160714,2
42,20160715,2
42,20160716,2
42,20160717,2
42,20160718,2
42,20160719,2
42,20160720,2
42,20160721,2
42,20160722,2
42,20160723,2
42,20160724,2
42,20160725,2
42,20160726,2
42,20160727,2
42,20160728,2
42,20160729,2
42,20160730,2
42,20160731,2
42,20160801,2
42,20160802,2
42,20160803,2
42,20160804,2
42,20160805,2
42,20160806,2
42,20160807,2
42,20160808,2
42,20160809,2
42,20160810,2
42,20160811,2
42,20160812,2
42,20160813,2
42,20160814,2
42,20160815,2
42,20160816,2
42,20160817,2
42,20160818,2
42,20160819,2
42,20160820,2
42,20160821,2
42,20160822,2
42,20160823,2
42,20160824,2
42,20160825,2
42,20160826,2
42,20160827,2
42,20160828,2
42,20160829,2
42,20160830,2
42,20160831,2
42,20160901,2
42,20160902,2
42,20160903,2
42,20160904,2
42,20160905,2
42,20160906,2
42,20160907,2
42,20160908,2
42,20160909,2
42,20160910,2
42,20160911,2
42,20160912,2
42,20160913,2
42,20160914,2
42,20160915,2
42,20160916,2
42,20160917,2
42,20160918,2
42,20160919,2
42,20160920,2
42,20160921,2
42,20160922,2
42,20160923,2
42,20160924,2
42,20160925,2
42,20160926,2
42,20160927,2
42,20160928,2
42,20160929,2
42,20160930,2
42,20161001,2
42,20161002,1
42,20161003,2
42,20161004,2
42,20161005,2
42,20161006,2
42,20161007,2
42,20161008,2
